,,,,,,,,,,,,,,,,,,,,,,Destek Unusrları(1),sartları,Destek Unusrları sart 1,Destek Unusrları sart 2,Destek Unusrları sart 3,Destek Unusrları sart 4,Destek Unusrları sart 5,Destek Unusrları sart 6,Destek Unusrları sart 7,Destek Unusrları sart 8,sorgulamam seçimi,kapasite,kanun,yatırım konusu,iozsart,revize id,,GTIP No,BIRIMI,ADI OZELLIGI,kullanıcı mail,rol,kayıt tarihi,dogrulamaKodu,kodGecerlilikTarihi,onayDurumu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290544110000 - D -GLUSİTOL (SORBİTOL); MANNİTOL ORANI =<% 2, SULU ÇÖZELTİ HALİNDE",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290544910000 - D -GLUSİTOL (SORBİTOL); MANNİTOL ORANI =<% 2, SULU ÇÖZELTİ HALİNDE OLMAYAN",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290544190000 - D -GLUSİTOL (SORBİTOL); MANNİTOL ORANI > % 2, SULU ÇÖZELTİ HALİNDE",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290544990000 - D -GLUSİTOL (SORBİTOL); MANNİTOL ORANI > % 2, SULU ÇÖZELTİ HALİNDE OLMAYAN",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290544110000 - D -GLUSİTOL (SORBİTOL); MANNİTOL ORANI =<% 2, SULU ÇÖZELTİ HALİNDE",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290544910000 - D -GLUSİTOL (SORBİTOL); MANNİTOL ORANI =<% 2, SULU ÇÖZELTİ HALİNDE OLMAYAN",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853610100013 - D tipi sigortalar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853610500013 - D tipi sigortalar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853610900013 - D tipi sigortalar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430230990013 - Dağ sıçanı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430230990013 - Dağ sıçanı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320411000000 - Dağılan boyalar ve esası bu boyalar olan müstahzarlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320411000000 - Dağılan boyalar ve esası bu boyalar olan müstahzarlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902150000011 - Dahili kalp pilleri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902150000011 - Dahili kalp pilleri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"853080000019 - DAHİLİ NEHİR YOLLARI VE TAŞIT PARK YERLERİ İÇİN ELEKTRİKLİ İŞARET, EMNİYET VEYA TRAFİK KONTROL VE KUMANDA CİHAZLARI",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850519900000 - DAİMİ MIKNATISLAR VE DAİMİ MIKNATIS OLABİLEN EŞYA; METALDEN OLANLAR VE AGLOMERE EDİLMİŞ FERRİTTEN DAİMİ MIKNATISLAR HARİÇ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591190910000 - DAİRESEL CİLALAMA PEDLERİ; YARI İLETKEN WAFERLARIN ÜRETİMİNDE KULLANILAN TÜRDE KENDİNDEN YAPIŞKANLI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"844711000011 - DAİRESEL ÖRGÜ YAPAN MAKİNALAR; SİLİNDİR ÇAPI <= 165MM, EV TİPİ OLANLAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"844711000012 - DAİRESEL ÖRGÜ YAPAN MAKİNALAR; SİLİNDİR ÇAPI <= 165MM, SANAYİ TİPİ OLANLAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"844712000011 - DAİRESEL ÖRGÜ YAPAN MAKİNALAR; SİLİNDİR ÇAPI > 165MM, EV TİPİ OLANLAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"844712000012 - DAİRESEL ÖRGÜ YAPAN MAKİNALAR; SİLİNDİR ÇAPI > 165MM, SANAYİ TİPİ OLANLAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846722300000 - Dairesel testereler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"846591200000 - AĞAÇ, MANTAR, KEMİK, SERT KAUÇUK, SERT PLASTİK, VB. SERT MADDELER İÇİN DAİRESEL TESTERE MAKİNALARI",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"961210200000 - DAKTİLO, BİLGİSAYAR VE DİĞER MAKİNALARLA KULLANILAN, PLASTİK VEYA METAL KARTUŞLARA KONULMUŞ, SENTETİK VE SUNİ LİFLERDEN ŞERİT",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851610800011 - DALDIRMA TİPİ ELEKTRİKLİ SU ISITICILARI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851610800011 - DALDIRMA TİPİ ELEKTRİKLİ SU ISITICILARI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853540000013 - Dalga bastırıcılar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853540000013 - Dalga bastırıcılar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621040000011 - Dalgıç elbisesi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621050000011 - Dalgıç elbisesi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"490700909000 - DAMGALI KAĞITLAR; ÇEK DEFTERLERİ, SENETLER",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271019440017 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271019460018 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271019470018 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271019480011 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271020110012 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271020160011 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271020160021 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271020190011 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271019460018 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"271019430017 - DAMITIK DENİZCİLİK YAKITI; AĞIRLIK İTİBARİYLE KÜKÜRT ORANI % 0,001 İ GEÇMEYENLER",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271019470018 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271019480011 - Damıtık denizcilik yakıtı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285390100000 - Damıtılmış veya iletkenlik suyu ve benzeri saflıktaki su,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285390100000 - Damıtılmış veya iletkenlik suyu ve benzeri saflıktaki su,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382319100000 - Damıtılmış yağ asitleri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382319100000 - Damıtılmış yağ asitleri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220720001015 - Alkollü içkiler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220720009015 - Alkollü içkiler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220890690000 - DAMITMA YOLU İLE ELDE EDİLEN DİĞER ALKOLLÜ İÇECEKLER, MUHTEVA =< 2 LT.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220890780000 - DAMITMA YOLU İLE ELDE EDİLEN DİĞER ALKOLLÜ İÇECEKLER; MUHTEVA > 2 LT.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010511110000 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010513000011 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010514000011 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"010515000011 - BEÇ TAVUKLARI; AĞIRLIK <= 185 GR, DAMIZLIK",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010594001000 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010599101000 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010599201000 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010599301000 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"010599501000 - BEÇ TAVUKLARI; AĞIRLIK >185 GR, DAMIZLIK",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040719190011 - Damızlık olanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040711009012 - DAMIZLIK OLMAYAN TAVUK (GALLUS DOMESTİCUS TÜRÜ) YUMURTALARI; ETİNDEN YARARLANILACAK TAVUKLAR İÇİN OLANLAR, KULUÇKALIK",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040711009019 - DAMIZLIK OLMAYAN TAVUK (GALLUS DOMESTİCUS TÜRÜ) YUMURTALARI; YUMURTASINDAN VEYA ETİNDEN YARARLANILACAK TAVUKLAR İÇİN OLANLAR ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040711009011 - DAMIZLIK OLMAYAN TAVUK (GALLUS DOMESTİCUS TÜRÜ) YUMURTALARI; YUMURTASINDAN YARARLANILACAK TAVUKLAR İÇİN OLANLAR, KULUÇKALIK",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040719190019 - Damızlık olmayanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040711001012 - DAMIZLIK TAVUK (GALLUS DOMESTİCUS TÜRÜ) YUMURTALARI; ETİNDEN YARARLANILACAK TAVUKLARIN EBEVEYNLERİ İÇİN OLANLAR, KULUÇKALIK",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040711001019 - DAMIZLIK TAVUK (GALLUS DOMESTİCUS TÜRÜ) YUMURTALARI; YUMURTASINDAN VEYA ETİNDEN YARARLANILACAK TAVUKLARIN EBEVEYNLERİ İÇİN OL,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040711001011 - DAMIZLIK TAVUK (GALLUS DOMESTİCUS TÜRÜ) YUMURTALARI; YUMURTASINDAN YARARLANILACAK TAVUKLARIN EBEVEYNLERİ İÇİN OLANLAR, KULUÇK",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010121000000 - ATLAR; DAMIZLIK OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010130001000 - Damızlıklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010190001000 - Damızlıklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010231000000 - BUFALO; DAMIZLIK OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010290200000 - CANLI DİĞER BÜYÜKBAŞ HAYVANLAR; DAMIZLIK OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010410100000 - Damızlıklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010420100000 - Damızlıklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010614101000 - Damızlıklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010633001000 - Damızlıklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010639101000 - Damızlıklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010639801000 - CANLI DİĞER KUŞLAR; DAMIZLIK OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010641001000 - ARILAR; DAMIZLIK OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010690001000 - CANLI DİĞER HAYVANLAR; DAMIZLIK,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901890500014 - Damla hazneleri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901890500014 - Damla hazneleri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410441191011 - Dana derisi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410449191011 - Dana derisi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410449191011 - Dana derisi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410441191011 - Dana derisi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040690760000 - Danbo, Fontal, Fontina, Fynbo, Havarti, Maribo, Samsö",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"040690760000 - Danbo, Fontal, Fontina, Fynbo, Havarti, Maribo, Samsö",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180100000011 - Dane kakao (ham),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180100000011 - Dane kakao (ham),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990000000002 - DANIŞMANLIK,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220421690000 - Dao, Bairrada ve Douro",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220421690000 - Dao, Bairrada ve Douro",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580632100011 - Dar dokuma saten kordela,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580632100011 - Dar dokuma saten kordela,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100821000011 - Darı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100829000011 - Darı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100821000011 - Darı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100829000011 - Darı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293190009054 - DBB (Diµoxodinbutylstanniohydroxyborane),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293190009054 - DBB (Diµoxodinbutylstanniohydroxyborane),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380852000000 - DDT (ISO) (clofenotane (INN)), net ağırlığı 300 gr’ı geçmeyen ambalajlarda",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380852000000 - DDT (ISO) (clofenotane (INN)), net ağırlığı 300 gr’ı geçmeyen ambalajlarda",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290392001000 - DDT [1,1,1 -TRİKLOR -2,2 - BİS (P -KLORFENİL) ETAN]",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290392001000 - DDT [1,1,1 -TRİKLOR -2,2 - BİS (P -KLORFENİL) ETAN]",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320290000011 - Bazik krom sülfat,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320190901000 - DEBAGATTE KULLANILAN BİTKİSEL MENŞELİ DİĞER HÜLASALAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320190909000 - DEBAGATTE KULLANILAN BİTKİSEL MENŞELİ HÜLASALARIN, TANENLERİN TUZLARI, ETERLERİ, ESTERLERİ VE DİĞER TÜREVLERİ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320190200012 - Boya meşesi palamudu hülasası,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320290000012 - Debagatte kullanılan diğer anorganik maddeler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320290000012 - Debagatte kullanılan diğer anorganik maddeler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320190200019 - DEBAGATTE KULLANILAN MEŞE AĞACI VE AT KESTANESİ AĞACI HÜLASASI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320290000013 - Debagatte kullanılan müstahzarlar (tabii debagat maddeleri içersin,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320290000013 - Debagatte kullanılan müstahzarlar (tabii debagat maddeleri içersin,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320210000000 - Debagatte kullanılan sentetik organik maddeler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320210000000 - Debagatte kullanılan sentetik organik maddeler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320190200011 - DEBAGATTE KULLANILAN SUMAK HÜLASASI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320190902000 - DEBAGATTE KULLANILAN TANENLER (TANNİK ASİTLER) (SULU MAZI TANENİ DAHİL),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902610811000 - DEBİMETRELER (ELEKTRONİK OLANLAR HARİÇ); SİVİL HAVA TAŞITLARINDA KULLANILMAYA MAHSUS OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902610819000 - DEBİMETRELER (ELEKTRONİK OLANLAR HARİÇ); SİVİL HAVA TAŞITLARINDA KULLANILMAYA MAHSUS OLANLAR HARİÇ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870893900011 - 87.01 İLA 87.05 POZİSYONLARINDA YER ALAN MOTORLU KARA TAŞITLARI İÇİN DEBRİYAJLAR; 8708.93.10 TE YER ALANLAR HARİÇ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871410500000 - Debriyajlar ve bunların aksam parçaları,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091099500000 - Defne yaprakları,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091099500000 - Defne yaprakları,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152200100000 - Degra,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152200100000 - Degra,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151521900011 - Degum (sakızı giderilmiş) mısır yağı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151521900011 - Degum (sakızı giderilmiş) mısır yağı,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680410000011 - Değirmen taşları,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680410000011 - Değirmen taşları,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843780001019 - DEĞİRMENCİLİKTE KULLANILMAYA MAHSUS DİĞER MAKİNA VE CİHAZLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841590009002 - DEĞİŞKEN DEBİLİ (VRF) KLİMA CİHAZLARINA AİT SPLİT SİSTEMLERİN DIŞ ÜNİTELERİ; SİVİL HAVA TAŞITLARINDA KULLANILMAYA MAHSUS OLAN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"841510900011 - AYRI ELEMANLI (SPLİT SİSTEM), DEĞİŞKEN DEBİLİ (VRF) KLİMA CİHAZLARI; PENCERE, DUVAR, TAVAN VEYA ZEMİNE SABİTLENECEK TİPLER",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841590009002 - DEĞİŞKEN DEBİLİ (VRF) KLİMA CİHAZLARINA AİT SPLİT SİSTEMLERİN DIŞ ÜNİTELERİ; SİVİL HAVA TAŞITLARINDA KULLANILMAYA MAHSUS OLAN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853230000000 - Değişken veya ayarlanabilir (ön ayar yapılabilir) kondansatörler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853230000000 - Değişken veya ayarlanabilir (ön ayar yapılabilir) kondansatörler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960810920000 - DEĞİŞTİRİLEBİLEN KARTUŞLU BİLYALI KALEMLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960810920000 - DEĞİŞTİRİLEBİLEN KARTUŞLU BİLYALI KALEMLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820420000000 - Değiştirilebilir sıkıştırma soketleri (saplı olsun olmasın),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820420000000 - Değiştirilebilir sıkıştırma soketleri (saplı olsun olmasın),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255159912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 40GR =<M2 <60 GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255259912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 60GR <= M2 <75GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255309912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 75GR <= M2 <80GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255909912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 80GR <= M2 <=150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <=",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255159912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 40GR =<M2 <60 GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255259912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 60GR <= M2 <75GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255309912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 75GR <= M2 <80GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255909912 - DEKOR KAĞIDI İMALİNE MAHSUS KAĞIT; RULO, 80GR <= M2 <=150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <=",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480256809912 - Dekor kağıdı imaline mahsus kağıtlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480256809912 - Dekor kağıdı imaline mahsus kağıtlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292146000014 - Deksamfetamin (INN),,,,,,,,
